"Date","34 m","40 m","47 m","56 m","66 m","78 m","92 m","110 m"
1993-11-06,10.706,10.112,7.25,6.595,5.958,4.75,5.839,5.967
1993-11-07,10.596,10.243,7.629,6.754,6.034,4.74,5.764,5.932
1993-11-08,10.358,10.115,7.369,6.743,6.052,4.71,5.745,5.907
1993-11-09,10.361,9.878,7.309,6.76,6.079,4.68,5.66,5.858
1993-11-10,10.361,9.835,7.384,6.784,6.125,4.676,5.633,5.808
1993-11-11,10.308,9.766,7.305,6.875,6.115,4.663,5.622,5.795
1993-11-12,10.438,9.758,7.437,6.875,6.134,4.666,5.59,5.768
1993-11-13,10.404,10.029,7.74,6.988,6.182,4.68,5.576,5.744
1993-11-14,10.278,9.95,7.502,7.039,6.193,4.678,5.559,5.725
1993-11-15,10.191,10.045,7.717,7.05,6.209,4.662,5.519,5.685
1993-11-16,9.993,9.991,7.495,7.101,6.18,4.633,5.495,5.652
1993-11-17,9.805,9.771,7.214,7.032,6.101,4.602,5.465,5.627
1993-11-18,9.924,9.577,7.173,6.909,6.025,4.562,5.429,5.592
1993-11-19,9.812,9.507,6.986,6.855,5.914,4.538,5.479,5.605
1993-11-20,9.865,9.41,7.085,6.783,5.846,4.495,5.455,5.625
1993-11-21,9.665,9.664,7.341,6.789,5.742,4.489,5.497,5.643
1993-11-22,9.087,9.492,6.907,6.79,5.615,4.473,5.537,5.62
1993-11-23,9.019,9.125,6.6,6.572,5.482,4.414,5.509,5.616
1993-11-24,9.038,8.806,6.478,6.414,5.45,4.39,5.515,5.614
1993-11-25,9.076,8.939,6.852,6.409,5.509,4.413,5.529,5.66
1993-11-26,8.872,8.975,7.172,6.44,5.581,4.444,5.523,5.664
1993-11-27,8.734,8.978,7.167,6.387,5.484,4.484,5.613,5.729
1993-11-28,8.815,8.938,7.354,6.424,5.354,4.433,5.529,5.737
1993-11-29,8.968,8.953,7.649,6.533,5.402,4.437,5.426,5.698
1993-11-30,8.978,8.891,7.845,6.668,5.6,4.6,5.329,5.592
1993-12-01,8.849,8.721,7.678,6.737,5.734,4.782,5.269,5.486
1993-12-02,8.727,8.432,7.467,6.835,5.954,4.936,5.279,5.469
1993-12-03,8.631,8.273,7.648,6.95,6.259,5.06,5.31,5.479
1993-12-04,8.56,8.299,7.87,7.135,6.465,5.062,5.384,5.532
1993-12-05,8.575,8.337,7.857,7.264,6.517,5.047,5.475,5.591
1993-12-06,8.529,8.331,7.872,7.397,6.605,5.076,5.498,5.624
1993-12-07,8.444,8.389,7.96,7.501,6.685,5.113,5.564,5.654
1993-12-08,8.373,8.431,7.892,7.541,6.685,5.105,5.604,5.696
1993-12-09,8.265,8.339,7.723,7.496,6.526,5.09,5.665,5.731
1993-12-10,8.087,8.22,7.518,7.366,6.347,5.083,5.707,5.771
1993-12-11,7.904,8.213,7.576,7.294,6.307,5.111,5.747,5.797
1993-12-12,7.847,8.116,7.584,7.319,6.337,5.131,5.79,5.83
1993-12-13,7.814,8.065,7.483,7.251,6.15,5.114,5.819,5.882
1993-12-14,7.715,7.973,7.067,7.003,5.873,5.043,5.818,5.902
1993-12-15,7.71,7.965,6.897,6.725,5.627,5.026,5.855,5.925
1993-12-16,7.708,7.973,6.776,6.613,5.522,5.009,5.858,5.899
1993-12-17,7.588,7.859,6.45,6.464,5.438,4.916,5.804,5.874
1993-12-18,7.531,7.852,6.77,6.447,5.651,4.808,5.718,5.77
1993-12-19,7.445,7.77,6.856,6.523,5.748,4.683,5.693,5.69
1993-12-20,7.598,7.783,7.053,6.428,5.678,4.61,5.554,5.625
1993-12-21,7.437,7.647,6.868,6.408,5.591,4.578,5.555,5.578
1993-12-22,7.302,7.496,6.553,6.295,5.533,4.559,5.456,5.518
1993-12-23,7.393,7.519,6.8,6.353,5.592,4.719,5.422,5.469
1993-12-24,7.13,7.277,6.526,6.407,5.618,4.753,5.521,5.514
1993-12-25,6.876,6.975,6.313,6.291,5.563,4.75,5.514,5.537
1993-12-26,6.808,6.917,6.274,6.142,5.471,4.723,5.515,5.505
1993-12-27,6.39,6.708,6.416,6.279,5.551,4.79,5.52,5.513
1993-12-28,5.546,5.947,6.233,6.172,5.503,4.857,5.636,5.613
1993-12-29,5.203,5.667,5.967,5.999,5.431,4.819,5.622,5.614
1993-12-30,5.011,5.602,5.82,5.919,5.428,4.746,5.618,5.571
1993-12-31,4.782,5.225,5.478,5.947,5.463,4.74,5.559,5.545
1994-01-01,4.443,4.849,5.384,5.849,5.415,4.658,5.65,5.578
1994-01-02,4.343,4.87,5.346,5.839,5.389,4.58,5.561,5.586
1994-01-03,4.207,4.809,5.303,5.882,5.41,4.517,5.526,5.542
1994-01-04,4.115,4.82,5.276,5.867,5.397,4.419,5.469,5.504
1994-01-05,4.291,5.043,5.15,5.882,5.367,4.353,5.33,5.45
1994-01-06,4.53,4.842,5.026,5.914,5.404,4.355,5.212,5.409
