"Date","40 m","47 m","56 m","66 m","78 m","92 m","110 m","131 m","156 m"
2024-01-29,3.624,3.599,4.187,5.442,5.823,6.106,7.231,8.605,8.921
2024-01-30,3.5,3.485,4.008,5.397,5.799,6.064,7.135,8.512,8.953
2024-01-31,3.324,3.394,3.839,5.36,5.76,6.002,6.959,8.437,8.939
2024-02-01,3.231,3.358,3.828,5.323,5.674,5.924,6.905,8.503,8.936
2024-02-02,3.133,3.225,3.878,5.269,5.606,5.857,6.81,8.456,8.927
2024-02-03,3.096,3.127,3.848,5.214,5.584,5.832,6.648,8.336,8.904
2024-02-04,3.041,3.096,3.959,5.258,5.638,5.874,6.666,8.342,8.933
2024-02-05,2.961,3.275,4.041,5.346,5.715,5.938,6.753,8.342,8.977
2024-02-06,3.161,3.588,4.08,5.41,5.727,5.966,6.881,8.425,8.97
2024-02-07,3.345,3.68,4.022,5.394,5.684,5.965,6.935,8.431,8.949
2024-02-08,3.476,3.7,4.131,5.379,5.637,5.94,6.924,8.338,8.896
2024-02-09,3.482,3.666,4.159,5.328,5.593,5.908,6.842,8.185,8.798
2024-02-10,3.55,3.675,4.16,5.298,5.565,5.882,6.694,7.996,8.653
2024-02-11,3.55,3.729,4.118,5.213,5.556,5.854,6.534,7.831,8.381
2024-02-12,3.314,3.678,4.088,5.168,5.568,5.821,6.415,7.669,8.167
2024-02-13,3.173,3.593,4.135,5.212,5.579,5.796,6.324,7.462,8.053
2024-02-14,2.94,3.405,4.075,5.184,5.575,5.771,6.274,7.218,8.018
2024-02-15,2.791,3.241,3.954,5.155,5.555,5.748,6.241,7.071,8.005
2024-02-16,2.686,3.152,3.893,5.144,5.546,5.718,6.225,7.02,7.967
2024-02-17,2.631,3.117,3.796,5.133,5.541,5.706,6.227,6.925,8.008
2024-02-18,2.592,3.125,3.823,5.132,5.524,5.689,6.223,6.872,8.004
2024-02-19,2.543,3.142,3.878,5.127,5.502,5.658,6.229,6.885,7.903
2024-02-20,2.496,3.133,3.892,5.118,5.496,5.629,6.227,6.868,7.779
2024-02-21,2.393,3.081,3.91,5.112,5.503,5.624,6.228,6.815,7.783
2024-02-22,2.346,2.956,3.767,5.084,5.518,5.642,6.216,6.813,7.95
2024-02-23,2.348,2.882,3.641,5.056,5.514,5.648,6.219,6.946,8.099
2024-02-24,2.363,2.766,3.512,4.97,5.467,5.622,6.23,7.094,8.151
2024-02-25,2.371,2.73,3.608,4.908,5.412,5.574,6.312,7.124,8.07
2024-02-26,2.334,2.601,3.517,4.84,5.393,5.556,6.313,7.013,7.935
2024-02-27,2.323,2.483,3.443,4.847,5.393,5.563,6.234,6.899,7.818
2024-02-28,2.349,2.44,3.373,4.846,5.382,5.553,6.144,6.834,7.757
2024-02-29,2.422,2.472,3.325,4.829,5.342,5.497,6.076,6.814,7.721
2024-03-01,2.372,2.399,3.354,4.839,5.272,5.395,6.095,7.003,7.538
2024-03-02,2.301,2.342,3.272,4.806,5.245,5.326,6.107,7.171,7.55
2024-03-03,2.304,2.371,3.228,4.806,5.239,5.311,6.027,6.987,7.615
2024-03-04,2.282,2.39,3.312,4.832,5.216,5.296,5.923,6.831,7.676
2024-03-05,2.282,2.399,3.206,4.777,5.187,5.312,5.894,6.697,7.991
2024-03-06,2.299,2.377,3.22,4.736,5.098,5.295,5.891,6.927,8.223
2024-03-07,2.366,2.375,3.227,4.614,4.971,5.212,5.883,7.215,8.261
2024-03-08,2.394,2.38,3.188,4.54,4.903,5.107,5.867,7.263,8.364
2024-03-09,2.254,2.36,3.05,4.496,4.895,5.004,5.755,6.954,8.441
2024-03-10,2.148,2.313,2.927,4.462,4.882,4.91,5.626,6.726,8.456
2024-03-11,2.099,2.241,2.785,4.362,4.782,4.757,5.504,6.764,8.434
2024-03-12,2.183,2.301,2.862,4.219,4.621,4.548,5.467,7.062,8.311
2024-03-13,2.282,2.419,2.955,4.045,4.494,4.456,5.667,7.519,7.848
2024-03-14,2.269,2.425,2.984,3.992,4.44,4.492,5.785,7.453,7.786
2024-03-15,2.224,2.386,2.943,4.055,4.471,4.529,5.724,7.229,7.666
2024-03-16,2.236,2.397,3.001,4.112,4.506,4.539,5.629,7.21,7.581
2024-03-17,2.256,2.385,3.067,4.172,4.538,4.517,5.574,7.175,7.573
2024-03-18,2.279,2.388,3.134,4.238,4.543,4.487,5.494,7.12,7.543
2024-03-19,2.323,2.41,3.181,4.214,4.535,4.481,5.412,7.06,7.472
2024-03-20,2.396,2.442,3.175,4.15,4.529,4.45,5.337,6.939,7.4
2024-03-21,2.441,2.489,3.215,4.11,4.531,4.4,5.291,6.825,7.379
2024-03-22,2.502,2.557,3.318,4.172,4.506,4.301,5.258,6.997,7.344
2024-03-23,2.565,2.623,3.467,4.164,4.486,4.338,5.478,7.046,7.47
2024-03-24,2.575,2.682,3.355,4.066,4.489,4.448,5.61,7.034,7.681
2024-03-25,2.526,2.681,3.405,4.099,4.493,4.471,5.718,7.188,7.891
2024-03-26,2.416,2.603,3.232,4.051,4.502,4.494,5.718,7.486,7.943
2024-03-27,2.401,2.584,3.199,4.123,4.498,4.403,5.616,7.743,8.085
2024-03-28,2.453,2.615,3.181,4.161,4.451,4.302,5.575,7.831,8.158
2024-03-29,2.561,2.638,3.222,4.104,4.385,4.22,5.618,7.728,8.129
