"Date","222 m","318 m","380 m","902 m","1245 m"
2002-05-25,7.964,6.131,6.857,4.62,4.202
2002-05-26,7.829,6.137,6.786,4.604,4.177
2002-05-27,7.812,6.131,6.833,4.549,4.147
2002-05-28,7.867,6.021,6.647,4.52,4.132
2002-05-29,7.804,6.048,6.517,4.545,4.142
2002-05-30,7.779,6.147,6.513,4.586,4.162
2002-05-31,7.788,6.235,6.516,4.616,4.177
2002-06-01,7.628,6.32,6.52,4.615,4.181
2002-06-02,7.144,6.353,6.446,4.576,4.163
2002-06-03,6.878,6.372,6.419,4.535,4.132
2002-06-04,7.056,6.516,6.655,4.466,4.083
2002-06-05,7.249,6.669,6.769,4.402,4.032
2002-06-06,7.282,6.755,6.831,4.333,3.981
2002-06-07,7.376,6.742,6.723,4.328,3.952
2002-06-08,7.497,6.942,7.021,4.394,3.959
2002-06-09,7.629,7.554,7.473,4.431,3.963
2002-06-10,7.713,6.872,7.243,4.51,3.989
2002-06-11,7.784,6.681,7.037,4.568,4.027
2002-06-12,7.917,6.873,6.928,4.538,4.066
2002-06-13,8.143,6.93,6.923,4.473,4.102
2002-06-14,8.403,7.114,7.004,4.426,4.125
2002-06-15,8.589,7.111,7.018,4.453,4.149
2002-06-16,8.787,7.217,7.067,4.467,4.181
2002-06-17,8.797,7.073,6.98,4.371,4.215
2002-06-18,8.68,7.09,7.026,4.229,4.234
2002-06-19,8.56,7.312,7.187,4.248,4.219
2002-06-20,8.575,7.506,7.184,4.275,4.186
2002-06-21,8.611,7.571,7.168,4.278,4.155
2002-06-22,8.565,7.558,7.111,4.278,4.138
2002-06-23,8.264,7.497,7.055,4.276,4.121
2002-06-24,8.313,7.64,7.187,4.27,4.098
2002-06-25,7.908,7.232,6.892,4.276,4.067
2002-06-26,7.79,7.404,7.139,4.273,4.031
2002-06-27,8.077,7.489,7.1,4.263,3.978
2002-06-28,7.409,6.844,6.783,4.258,3.917
2002-06-29,6.783,6.465,6.583,4.264,3.861
2002-06-30,7.067,6.703,6.54,4.253,3.804
2002-07-01,7.427,7.043,6.564,4.245,3.772
2002-07-02,7.58,7.028,6.681,4.261,3.782
2002-07-03,7.555,6.821,6.697,4.288,3.825
2002-07-04,7.624,6.917,6.668,4.311,3.91
2002-07-05,7.687,6.856,6.575,4.337,4.001
2002-07-06,7.722,6.738,6.487,4.365,4.034
2002-07-07,7.766,6.866,6.566,4.361,3.981
2002-07-08,7.927,7.04,6.682,4.316,3.873
2002-07-09,8.064,7.086,6.759,4.238,3.784
2002-07-10,7.812,6.991,6.717,4.158,3.745
2002-07-11,7.488,7.036,6.772,4.102,3.732
2002-07-12,7.711,7.271,6.924,4.046,3.727
2002-07-13,7.944,7.271,6.897,4.028,3.737
2002-07-14,8.103,7.307,6.93,4.026,3.748
2002-07-15,8.204,7.362,6.978,4.042,3.759
2002-07-16,8.291,7.47,7.086,4.07,3.771
2002-07-17,8.4,7.514,7.173,4.111,3.79
2002-07-18,8.51,7.579,7.264,4.153,3.815
2002-07-19,8.461,7.096,7.182,4.201,3.843
2002-07-20,8.439,7.153,7.27,4.237,3.864
2002-07-21,8.56,7.34,7.3,4.268,3.874
