"Date","66 m","78 m","92 m","110 m","131 m","156 m","186 m","266 m","380 m"
2022-12-21,5.623,5.778,5.335,5.748,6.403,6.749,7.199,7.269,6.663
2022-12-22,5.518,5.684,5.345,5.762,6.392,6.728,7.204,7.273,6.666
2022-12-23,5.457,5.701,5.352,5.79,6.4,6.721,7.202,7.278,6.681
2022-12-24,5.415,5.704,5.364,5.846,6.446,6.767,7.222,7.264,6.695
2022-12-25,5.491,5.882,5.353,5.849,6.561,6.835,7.28,7.238,6.685
2022-12-26,5.443,5.745,5.336,5.814,6.495,6.795,7.261,7.217,6.696
2022-12-27,5.452,5.734,5.312,5.784,6.443,6.767,7.246,7.198,6.699
2022-12-28,5.419,5.729,5.308,5.814,6.444,6.743,7.236,7.187,6.706
2022-12-29,5.38,5.707,5.329,5.829,6.454,6.726,7.227,7.181,6.707
2022-12-30,5.331,5.701,5.351,5.831,6.451,6.716,7.212,7.178,6.697
2022-12-31,5.322,5.72,5.319,5.817,6.482,6.716,7.206,7.174,6.675
2023-01-01,5.281,5.641,5.305,5.767,6.456,6.692,7.197,7.162,6.656
2023-01-02,5.222,5.592,5.288,5.784,6.478,6.707,7.188,7.149,6.625
2023-01-03,5.094,5.46,5.346,5.803,6.483,6.689,7.189,7.132,6.603
2023-01-04,5.033,5.423,5.376,5.809,6.451,6.67,7.201,7.113,6.597
2023-01-05,5.002,5.403,5.367,5.807,6.429,6.657,7.209,7.091,6.605
2023-01-06,4.964,5.374,5.361,5.812,6.364,6.62,7.199,7.082,6.594
2023-01-07,4.97,5.398,5.314,5.775,6.332,6.556,7.175,7.07,6.566
2023-01-08,4.987,5.415,5.237,5.725,6.288,6.496,7.172,7.05,6.557
2023-01-09,4.989,5.368,5.189,5.674,6.212,6.446,7.184,7.028,6.561
2023-01-10,4.985,5.318,5.181,5.636,6.144,6.384,7.145,7.01,6.568
2023-01-11,5.005,5.351,5.15,5.665,6.08,6.327,7.107,7.02,6.546
2023-01-12,4.992,5.313,5.217,5.654,6.108,6.262,7.08,6.968,6.546
2023-01-13,4.98,5.309,5.275,5.641,6.093,6.254,6.921,6.91,6.548
2023-01-14,4.994,5.324,5.292,5.622,6.071,6.238,6.804,6.857,6.536
2023-01-15,5.003,5.315,5.318,5.621,6.058,6.237,6.777,6.872,6.528
2023-01-16,4.97,5.308,5.302,5.661,6.018,6.216,6.86,6.963,6.495
2023-01-17,4.933,5.28,5.22,5.658,6.044,6.099,7.124,7.009,6.455
2023-01-18,4.922,5.211,5.356,5.65,6.111,6.155,7.533,7.05,6.457
2023-01-19,4.864,5.182,5.482,5.712,6.155,6.272,7.573,7.155,6.455
2023-01-20,4.867,5.214,5.469,5.751,6.167,6.333,7.57,7.221,6.444
2023-01-21,4.865,5.211,5.429,5.796,6.214,6.333,7.687,7.17,6.432
2023-01-22,4.859,5.206,5.417,5.791,6.202,6.272,7.613,7.07,6.428
2023-01-23,4.874,5.221,5.398,5.77,6.137,6.216,7.251,6.994,6.439
2023-01-24,4.914,5.244,5.355,5.744,6.151,6.237,7.079,6.932,6.443
2023-01-25,4.936,5.218,5.32,5.737,6.192,6.25,7.121,6.884,6.45
2023-01-26,4.97,5.276,5.413,5.798,6.196,6.32,6.849,6.854,6.456
2023-01-27,4.991,5.292,5.373,5.772,6.185,6.342,6.832,6.863,6.435
2023-01-28,4.997,5.242,5.376,5.759,6.174,6.341,6.863,6.85,6.465
2023-01-29,5.014,5.267,5.397,5.794,6.176,6.352,6.882,6.863,6.458
2023-01-30,5.066,5.288,5.446,5.778,6.147,6.304,6.877,6.857,6.468
2023-01-31,5.078,5.332,5.406,5.79,6.145,6.302,6.847,6.861,6.47
2023-02-01,5.108,5.348,5.397,5.766,6.122,6.273,6.821,6.864,6.475
2023-02-02,5.112,5.369,5.383,5.761,6.12,6.25,6.783,6.859,6.474
2023-02-03,5.115,5.384,5.376,5.74,6.099,6.226,6.751,6.841,6.48
2023-02-04,5.104,5.402,5.363,5.727,6.078,6.22,6.763,6.837,6.521
2023-02-05,5.135,5.419,5.442,5.788,6.15,6.27,6.825,6.961,6.646
2023-02-06,5.192,5.482,5.566,5.843,6.177,6.272,6.669,6.922,6.698
2023-02-07,5.192,5.485,5.52,5.83,6.101,6.223,6.683,6.852,6.727
