"Date","8 m","10 m","13 m","16 m","18 m","25 m","34 m"
2010-06-21,15.581,14.459,12.281,10.13,9.428,7.323,6.014
2010-06-22,15.813,14.974,12.786,9.86,9.257,7.389,6.056
2010-06-23,16.111,15.187,13.088,10.075,9.155,7.527,6.153
2010-06-24,16.186,15.526,13.369,10.708,9.517,7.626,6.383
2010-06-25,16.258,15.858,13.643,11.828,10.215,7.744,6.583
2010-06-26,16.46,16.076,13.83,11.979,10.522,7.883,6.643
2010-06-27,16.601,16.186,14.003,12.148,10.748,8.015,6.703
2010-06-28,16.803,16.308,14.33,12.14,10.907,8.179,6.774
2010-06-29,16.926,16.37,14.533,12.389,11.13,8.335,6.908
2010-06-30,17.132,16.335,14.692,12.66,11.412,8.415,6.985
2010-07-01,17.294,16.337,14.738,12.99,11.735,8.456,7.032
2010-07-02,17.44,16.353,14.762,13.157,11.964,8.456,7.03
2010-07-03,17.605,16.419,14.773,12.934,11.899,8.41,6.975
2010-07-04,17.704,16.853,14.926,13.172,12.113,8.513,7.009
2010-07-05,17.841,17.227,15.429,13.255,12.273,8.594,7.017
2010-07-06,18.006,17.471,15.715,13.155,12.06,8.666,7.04
2010-07-07,18.235,17.418,15.737,13.446,12.298,8.777,7.106
2010-07-08,18.486,17.466,15.86,13.651,12.548,8.85,7.202
2010-07-09,18.821,17.763,16.05,13.96,12.841,8.962,7.308
2010-07-10,19.235,18.401,16.502,14.492,13.2,9.11,7.445
2010-07-11,19.538,18.997,16.919,15.473,13.657,9.321,7.64
2010-07-12,19.693,19.206,17.232,15.019,13.521,9.615,7.817
2010-07-13,19.843,19.537,17.501,15.233,13.808,9.881,8.05
2010-07-14,20.054,19.77,17.768,15.335,14.084,9.962,8.163
2010-07-15,20.173,19.646,17.797,15.347,14.175,9.852,8.168
2010-07-16,20.56,19.529,17.776,14.954,13.843,9.636,8.106
2010-07-17,20.796,19.567,17.525,15.165,13.88,9.579,8.037
2010-07-18,21.056,20.053,17.702,15.653,14.314,9.525,7.943
2010-07-19,21.286,20.587,18.014,15.488,14.204,9.356,7.84
2010-07-20,21.575,20.757,17.959,14.3,12.846,9.198,7.786
2010-07-21,21.83,20.453,17.649,14.311,12.26,9.228,7.779
2010-07-22,21.952,20.365,17.591,14.585,12.611,9.292,7.772
2010-07-23,21.836,19.969,17.479,14.784,13.057,9.277,7.733
2010-07-24,21.857,19.607,17.275,14.434,12.697,9.122,7.637
2010-07-25,21.921,19.095,17.096,14.336,12.378,8.973,7.535
2010-07-26,21.613,18.53,16.526,14.731,12.798,8.968,7.459
2010-07-27,21.181,18.727,16.149,14.514,12.95,8.822,7.305
2010-07-28,21.095,18.999,16.215,12.222,11.072,8.453,7.131
2010-07-29,20.795,19.972,16.314,13.531,11.283,8.491,7.25
2010-07-30,20.604,20.273,16.755,15.554,12.489,8.784,7.4
2010-07-31,20.664,20.264,17.304,14.753,12.047,9.302,7.571
2010-08-01,20.847,20.113,17.695,15.288,12.757,9.156,7.735
2010-08-02,21.101,19.862,17.911,15.855,13.459,9.127,7.763
2010-08-03,21.312,19.46,17.856,16.198,13.884,9.081,7.73
2010-08-04,21.112,19.565,17.759,16.542,14.377,9.036,7.645
2010-08-05,20.867,20.125,18.139,17.035,14.784,8.932,7.468
2010-08-06,20.893,20.612,18.268,17.215,14.927,8.915,7.311
2010-08-07,20.941,20.741,18.286,17.387,15.112,9.149,7.275
2010-08-08,20.673,20.688,18.165,16.947,15.113,9.409,7.415
2010-08-09,20.494,20.458,18.168,17.291,15.611,9.528,7.754
2010-08-10,20.498,20.426,18.428,17.617,16.025,9.888,7.88
2010-08-11,20.632,20.391,18.763,17.424,16.1,9.894,7.889
2010-08-12,20.77,20.136,18.93,16.944,15.565,9.674,7.797
2010-08-13,20.912,19.617,18.246,16.788,14.989,9.453,7.684
2010-08-14,21.071,19.111,17.654,16.934,14.949,9.318,7.519
2010-08-15,21.209,18.839,17.382,16.832,14.741,9.092,7.299
2010-08-16,21.271,18.924,17.228,16.77,14.678,8.956,7.106
2010-08-17,21.112,19.504,17.674,16.955,15.105,8.987,7.002
2010-08-18,21.018,20.098,18.317,17.311,15.469,8.992,6.898
2010-08-19,21.092,20.435,18.427,15.765,13.662,8.839,6.811
2010-08-20,21.186,20.509,18.112,15.576,12.789,9.056,6.991
2010-08-21,21.323,20.347,18.172,16.104,13.807,9.266,7.245
2010-08-22,21.406,20.128,18.249,16.548,14.545,9.382,7.356
2010-08-23,21.368,19.801,18.26,16.577,14.663,9.38,7.385
2010-08-24,21.102,19.236,18.068,16.152,14.012,9.25,7.34
2010-08-25,20.886,18.577,17.359,16.544,14.042,9.229,7.343
2010-08-26,20.715,18.517,17.428,16.961,14.62,9.279,7.354
2010-08-27,20.617,18.609,17.422,17.417,15.136,9.193,7.245
2010-08-28,20.471,18.945,17.358,15.765,13.876,8.828,7.035
2010-08-29,20.605,19.082,16.788,12.921,11.13,8.477,6.909
2010-08-30,20.714,18.818,16.224,13.167,10.648,8.582,7.023
2010-08-31,20.809,18.649,16.2,13.731,11.274,8.824,7.216
2010-09-01,21.001,18.872,16.472,14.475,12.157,8.984,7.441
2010-09-02,21.159,19.305,16.939,15.071,12.86,9.181,7.609
2010-09-03,21.262,19.909,17.399,15.391,13.375,9.416,7.749
2010-09-04,21.255,20.382,17.911,14.786,13.052,9.678,7.858
2010-09-05,20.846,20.741,17.825,16.894,13.979,9.537,8.426
2010-09-06,20.213,20.343,17.799,18.406,15.935,9.997,8.754
