"Date","47 m","66 m","78 m","92 m","110 m"
2000-07-01,7.158,6.093,7.344,7.54,7.123
2000-07-02,7.207,6.101,7.341,7.538,7.132
2000-07-03,7.208,6.098,7.329,7.533,7.135
2000-07-04,7.273,6.125,7.319,7.531,7.142
2000-07-05,7.385,6.17,7.336,7.533,7.15
2000-07-06,7.414,6.169,7.39,7.53,7.155
2000-07-07,6.991,6.14,7.406,7.512,7.117
2000-07-08,6.611,6.182,7.414,7.508,7.095
2000-07-09,6.815,6.254,7.473,7.526,7.097
2000-07-10,7.049,6.336,7.512,7.535,7.113
2000-07-11,7.259,6.421,7.54,7.534,7.141
2000-07-12,7.334,6.427,7.553,7.504,7.192
2000-07-13,7.237,6.44,7.557,7.501,7.245
2000-07-14,7.308,6.6,7.653,7.559,7.286
2000-07-15,7.467,6.796,7.76,7.622,7.315
2000-07-16,7.605,6.971,7.835,7.666,7.366
2000-07-17,7.746,7.217,7.921,7.736,7.4
2000-07-18,7.891,7.417,8.023,7.788,7.434
2000-07-19,8.058,7.492,8.078,7.804,7.535
2000-07-20,8.138,7.406,8.075,7.811,7.602
2000-07-21,7.912,7.246,8.014,7.823,7.614
2000-07-22,7.76,7.27,7.991,7.866,7.63
2000-07-23,7.812,7.379,8.03,7.928,7.654
2000-07-24,7.915,7.461,8.079,7.963,7.684
2000-07-25,7.957,7.467,8.105,7.976,7.701
2000-07-26,7.982,7.503,8.127,7.998,7.71
2000-07-27,8.045,7.544,8.13,8.005,7.713
2000-07-28,8.113,7.612,8.138,8.021,7.707
2000-07-29,8.163,7.684,8.164,8.033,7.689
2000-07-30,8.25,7.691,8.174,8.017,7.709
2000-07-31,8.361,7.745,8.183,8.015,7.734
2000-08-01,8.439,7.878,8.213,8.026,7.747
2000-08-02,8.523,7.995,8.249,8.031,7.763
2000-08-03,8.643,8.096,8.293,8.047,7.792
2000-08-04,8.772,8.037,8.3,8.039,7.828
2000-08-05,8.894,7.806,8.258,8.006,7.836
2000-08-06,8.831,7.557,8.177,7.973,7.783
2000-08-07,8.595,7.534,8.131,7.969,7.752
2000-08-08,8.556,7.535,8.12,7.964,7.757
2000-08-09,8.509,7.489,8.083,7.941,7.739
2000-08-10,8.214,7.579,8.062,7.968,7.714
2000-08-11,8.121,7.74,8.108,8.024,7.762
2000-08-12,8.149,7.87,8.157,8.077,7.802
2000-08-13,8.204,8.034,8.236,8.152,7.843
2000-08-14,8.292,8.237,8.341,8.255,7.912
2000-08-15,8.325,8.45,8.432,8.354,7.951
2000-08-16,8.396,8.625,8.512,8.436,7.98
2000-08-17,8.469,8.761,8.564,8.492,8.034
2000-08-18,8.575,8.832,8.614,8.519,8.098
2000-08-19,8.871,8.851,8.663,8.536,8.174
2000-08-20,9.175,8.907,8.712,8.578,8.25
2000-08-21,9.269,8.99,8.759,8.627,8.324
2000-08-22,9.391,8.96,8.821,8.652,8.372
2000-08-23,9.411,8.928,8.892,8.685,8.395
2000-08-24,9.411,8.993,8.963,8.743,8.416
2000-08-25,9.499,9.044,9.03,8.788,8.448
2000-08-26,9.537,8.87,9.085,8.772,8.414
2000-08-27,9.379,8.83,9.11,8.76,8.362
2000-08-28,9.339,8.906,9.152,8.777,8.378
2000-08-29,9.373,8.95,9.21,8.797,8.4
2000-08-30,9.399,8.996,9.274,8.842,8.412
2000-08-31,9.446,9.036,9.32,8.872,8.406
2000-09-01,9.46,8.979,9.324,8.86,8.373
